Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Abdul Samad,SRH,https://sports.ndtv.com/cricket/players/113179-abdul-samad-playerprofile,Batsman ,4,Abdul Samad Farooq,"October 28, 2001 Kala Kot, Jammu & Kashmir","20 Years, 4 Months, 18 Days",India,Right Handed,Leg break,IPL,23,18,4,222,33 v DC,0,0,12,14,15.85,146.05,13,0,2,1,4,8,0,105,2,1/9 v PBKS,0,0,52.5,13.12,24,4
Kartik Tyagi,SRH,https://sports.ndtv.com/cricket/players/108595-kartik-tyagi-playerprofile,Bowler ,4,Kartik Tyagi,"November 8, 2000 Hapur, Uttar Pradesh","21 Years, 4 Months, 7 Days",India,Right Handed,Right-arm medium fast,IPL,14,5,3,6,2* v DC,0,0,0,0,3,60,3,0,1,0,14,52.1,0,491,13,2/29 v PBKS,0,0,37.76,9.41,24.07,14
Glenn Phillips,SRH,https://sports.ndtv.com/cricket/players/107472-glenn-phillips-playerprofile,Wicket-Keeper ,1.5,Glenn Dominic Phillips,"December 6, 1996 East London, Eastern Cape","25 Years, 3 Months, 9 Days",New Zealand,Right Handed,Off break,IPL,3,3,1,26,14* v CSK,0,0,1,2,13,78.78,1,0,0,0,2,2,0,20,1,1/17 v KKR,0,0,20,10,12,2
Shreyas Gopal,SRH,https://sports.ndtv.com/cricket/players/51296-shreyas-gopal-playerprofile,Bowler ,0.75,Shreyas Gopal,"September 4, 1993 Banglaore, Karnataka","28 Years, 6 Months, 11 Days",India,Right Handed,Leg break,IPL,48,21,7,171,24 v PBKS,0,0,17,2,12.21,105.55,11,0,4,2,47,155.1,1,1247,48,4/16 v RCB,4,0,25.97,8.03,19.39,47
Jagadeesha Suchith,SRH,https://sports.ndtv.com/cricket/players/106726-jagadeesha-suchith-playerprofile,Bowler ,0.2,Jagadeesha Suchith,"January 16, 1994 Mysore","28 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,IPL,17,8,6,68,34* v PBKS,0,0,6,3,34,128.3,9,0,2,1,16,52,0,462,12,2/14 v SRH,0,0,38.5,8.88,26,16
Prasidh Krishna,RR,https://sports.ndtv.com/cricket/players/107509-prasidh-krishna-playerprofile,Bowler ,10,Muralikrishna Prasidh Krishna,"February 19, 1996 Bangalore, Karnataka","26 Years, 0 Months, 25 Days",India,Right Handed,Right-arm medium fast,IPL,34,7,5,3,2* v RCB,0,0,0,0,1.5,25,7,0,5,1,34,124.2,0,1152,30,4/30 v SRH,2,0,38.4,9.26,24.86,34
Trent Boult,RR,https://sports.ndtv.com/cricket/players/1061-trent-boult-playerprofile,Bowler ,8,Trent Alexander Boult,"July 22, 1989 Rotorua","32 Years, 7 Months, 24 Days",New Zealand,Right Handed,Left-arm fast medium,IPL,62,10,7,13,6 v CSK,0,0,0,1,4.33,68.42,23,0,6,0,62,236.1,5,1983,76,4/18 v CSK,5,0,26.09,8.39,18.64,62
Yuzvendra Chahal,RR,https://sports.ndtv.com/cricket/players/1394-yuzvendra-chahal-playerprofile,Bowler ,6.5,Yuzvendra Singh Chahal,"July 23, 1990 Jind, Haryana, India","31 Years, 7 Months, 23 Days",India,Right Handed,Leg break googly,IPL,114,18,12,32,8* v CSK,0,0,0,0,5.33,41.02,24,0,5,2,113,408,4,3097,139,4/25 v PBKS,9,0,22.28,7.59,17.61,113
Ravichandran Ashwin,RR,https://sports.ndtv.com/cricket/players/1109-ravichandran-ashwin-playerprofile,All-Rounder ,5,Ravichandran Ashwin,"September 17, 1986 Chennai, Tamil Nadu","35 Years, 5 Months, 28 Days",India,Right Handed,Off break,IPL,167,63,22,456,45 v KKR,0,0,37,12,11.12,109.88,37,0,15,5,164,583,4,4031,145,4/34 v PBKS,6,0,27.8,6.91,24.12,164
Riyan Parag,RR,https://sports.ndtv.com/cricket/players/108566-riyan-parag-playerprofile,All-Rounder ,3.8,Riyan Parag,"November 10, 2001 Guwahati, Assam","20 Years, 4 Months, 5 Days",India,Right Handed,Leg break,IPL,30,23,3,339,50 v DC,0,1,29,12,16.95,118.53,12,0,3,2,15,22.1,0,221,3,1/7 v PBKS,0,0,73.66,9.96,44.33,15
